Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
19128,20191017,20220706,506,47.98,12.5479,Traunreut-Stein,Bayern
19138,20220628,20220706,358,50.6683,11.9778,Zeulenroda/Greiz,Thüringen
19140,20201101,20220706,278,50.9657,10.6988,Gotha,Thüringen
19171,20200901,20220706,13,54.0038,9.8553,Hasenkrug-Hardebek,Schleswig-Holstein
19172,20200901,20220706,48,54.0246,9.388,Wacken,Schleswig-Holstein
19225,20200428,20220706,560,50.5352,10.0966,Fladungen-Leubach,Bayern
19238,20200610,20220706,460,48.2981,12.9586,Simbach am Inn-Grub,Bayern
19244,20200903,20220706,300,49.1939,7.3714,Hornbach/Südwestpfalz,Rheinland-Pfalz
19246,20210318,20211029,321,50.3078,9.7891,"Brückenau, Bad (Pegelhaus)",Bayern
19270,20210204,20220706,865,50.4465,11.006,Bleßberg,Thüringen
19271,20211101,20220706,280,50.2996,9.7436,"Brückenau, Bad-Staatsbad",Bayern
19272,20210205,20220706,303,50.298,10.9242,Kösfeld,Bayern
19275,20210803,20220706,455,50.3636,11.4917,Kronach-Mauthaus (Talsperre),Bayern
19299,20210401,20220706,463,49.8713,11.7883,Speichersdorf,Bayern
19303,20211218,20220706,200,49.9224,8.0183,Appenheim,Rheinland-Pfalz
19304,20211218,20220706,123,49.9152,7.9555,Dromersheim,Rheinland-Pfalz
19319,20211101,20220706,340,50.2891,7.0888,Anschau,Rheinland-Pfalz
19361,20211029,20220706,540,50.4159,11.0437,Frankenblick-Rauenstein,Thüringen
19362,20211029,20220706,720,50.4602,11.0858,Neuhaus-Steinheid (Thür.),Thüringen
19363,20220321,20220706,409,48.9532,10.9135,Treuchtlingen,Bayern
19366,20211129,20220706,242,49.1505,7.9174,Annweiler am Trifels-Stein,Rheinland-Pfalz
19367,20211129,20220706,174,49.2133,7.98,Annweiler am Trifels/Pfalz,Rheinland-Pfalz
